imfGDP,gdpPerCapita,pop,eu_or_not,class
0,164823.4258,39.242,not,developing
0,12430.1633,4.992,not,developing
0,19022.4444,164.093,not,developing
0,25003.8959,42.876,not,developing
0,33085.0474,285.498,not,developing
0,1278.9308,220892.34,not,developing
0,22496.8653,15.003,not,developing
0,1890.2804,43849.26,not,developing
0,1266.4138,17500.658,not,developing
0,23698.9047,38.717,not,developing
